players_id;games_id;session_date;score;username;level;join_date;title;genre;release_date;tournaments_id;tournament_name;prize_pool
1663;165;26/01/2025;523;fullersamantha;70;28/01/2025;center;Strategy;27/09/2010;4;seat;86681
1298;21;11/02/2025;916;todd18;45;07/02/2025;trip;Sports;02/11/2000;47;argue;74092
198;39;09/02/2025;861;stephen00;8;30/01/2025;company;Sports;28/01/2011;17;film;4319
1748;221;15/02/2025;160;ylane;77;14/02/2025;way;Action;31/10/2023;8;nice;5582
205;138;29/01/2025;284;warrenjason;31;18/01/2025;exist;Action;30/05/2005;23;start;85502
1162;274;18/01/2025;888;ortizkelli;2;01/01/2025;letter;RPG;26/07/2021;13;positive;29781
1648;242;16/02/2025;114;adamsdaniel;25;16/01/2025;major;Strategy;06/11/2019;25;less;78547
174;122;26/01/2025;475;esparzagregory;77;11/02/2025;miss;Strategy;25/09/2015;45;human;64942
1571;283;12/02/2025;923;bflores;69;13/02/2025;human;Strategy;02/11/2007;23;start;85502
1835;10;07/02/2025;806;laura29;87;08/02/2025;gun;Action;31/12/2015;10;give;26485
129;181;15/02/2025;322;dyergloria;40;31/01/2025;night;Sports;08/12/2022;17;film;4319
946;270;08/02/2025;133;bradleydonna;75;01/02/2025;reveal;Action;15/09/2011;18;form;53429
473;57;24/01/2025;871;oliviagonzalez;70;15/01/2025;former;Sports;05/11/2015;24;all;41547
101;226;15/02/2025;952;omatthews;25;09/01/2025;campaign;Strategy;11/01/2012;47;argue;74092
1166;112;04/02/2025;219;megan83;4;05/02/2025;front;Strategy;03/06/2010;1;price;92322
1172;7;11/02/2025;671;erikmoody;44;20/01/2025;focus;RPG;31/05/2018;27;Republican;22661
36;92;21/02/2025;259;mandyvasquez;93;12/02/2025;president;RPG;05/02/2024;25;less;78547
1947;267;17/02/2025;142;chale;49;06/01/2025;government;Action;26/12/2021;41;why;96008
771;248;12/01/2025;0;dianedennis;7;12/01/2025;dog;Sports;04/04/2022;43;in;67474
1821;221;18/01/2025;52;lmullins;98;11/02/2025;way;Action;31/10/2023;8;nice;5582
1877;10;15/01/2025;27;austin64;99;31/01/2025;gun;Action;31/12/2015;10;give;26485
725;17;11/01/2025;573;wmcdaniel;66;01/02/2025;reason;RPG;21/11/2012;31;hour;54993
1538;209;24/01/2025;420;saunderssusan;24;06/01/2025;letter;Strategy;02/02/2018;11;conference;14980
602;277;13/02/2025;526;codytodd;58;23/01/2025;there;Strategy;03/11/2022;20;father;50092
327;167;19/02/2025;486;obrown;18;31/01/2025;level;RPG;06/06/2018;37;hour;15448
1929;71;05/01/2025;88;ayalajulie;8;01/01/2025;require;Sports;05/09/2012;48;everything;40183
1558;41;23/01/2025;988;jeffery00;6;14/02/2025;service;RPG;08/11/2019;36;look;74959
1439;246;31/01/2025;512;obarnett;44;11/01/2025;lay;Strategy;12/05/2012;19;modern;11238
450;141;14/02/2025;802;gvaughn;55;02/01/2025;lead;RPG;24/03/2023;30;thus;56859
937;95;10/02/2025;815;phillipsjeff;57;07/02/2025;pick;Action;07/12/2011;46;mention;45433
1793;125;10/02/2025;146;xhowell;76;03/01/2025;hospital;RPG;17/11/2008;20;father;50092
